sample_name,lib_1,lib_10032,lib_10185,lib_102,lib_10213,lib_10272,lib_10482,lib_105,lib_10504,lib_106,lib_1065,lib_107,lib_10919,lib_10925,lib_11,lib_11025,lib_111,lib_11107,lib_11238,lib_113,lib_11334,lib_11397,lib_114,lib_115,lib_116,lib_117,lib_1174,lib_11841,lib_11844,lib_12067,lib_12079,lib_122,lib_12290,lib_123,lib_12389,lib_124,lib_125,lib_12534,lib_12554,lib_12624,lib_12665,lib_13,lib_1305,lib_13068,lib_13148,lib_132,lib_133,lib_13368,lib_13484,lib_135,lib_1350,lib_13587,lib_1365,lib_137,lib_138,lib_14,lib_140,lib_14086,lib_14112,lib_14151,lib_1424,lib_14286,lib_14342,lib_14371,lib_14436,lib_14440,lib_14481,lib_146,lib_15,lib_150,lib_151,lib_152,lib_153,lib_154,lib_1549,lib_15606,lib_15680,lib_15692,lib_157,lib_16,lib_161,lib_16131,lib_162,lib_16274,lib_1632,lib_164,lib_165,lib_167,lib_1683,lib_17,lib_17026,lib_17100,lib_172,lib_173,lib_17425,lib_175,lib_17728,lib_17778,lib_183,lib_185,lib_18558,lib_186,lib_188,lib_18935,lib_19,lib_190,lib_193,lib_19352,lib_19361,lib_195,lib_1951,lib_197,lib_19876,lib_199,lib_2,lib_20,lib_202,lib_20207,lib_20321,lib_20333,lib_20494,lib_20629,lib_21,lib_211,lib_21103,lib_21521,lib_21568,lib_2188,lib_22,lib_220,lib_221,lib_22165,lib_22182,lib_22422,lib_225,lib_227,lib_232,lib_23222,lib_23402,lib_23444,lib_23486,lib_235,lib_23874,lib_239,lib_23925,lib_24032,lib_24044,lib_24142,lib_242,lib_24251,lib_247,lib_248,lib_2482,lib_24874,lib_24905,lib_25,lib_250,lib_25142,lib_25307,lib_25584,lib_25644,lib_257,lib_25780,lib_26,lib_26026,lib_261,lib_26191,lib_26361,lib_265,lib_26617,lib_26715,lib_27,lib_27151,lib_27172,lib_27180,lib_2721,lib_2729,lib_27449,lib_277,lib_27853,lib_28,lib_2803,lib_281,lib_2818,lib_2831,lib_2845,lib_28575,lib_28754,lib_2887,lib_290,lib_293,lib_29962,lib_3,lib_30042,lib_301,lib_30207,lib_30228,lib_303,lib_30566,lib_3071,lib_308,lib_3084,lib_31,lib_3106,lib_31230,lib_314,lib_31420,lib_3148,lib_3168,lib_31751,lib_32,lib_32061,lib_32139,lib_3223,lib_3248,lib_33,lib_3310,lib_334,lib_336,lib_3364,lib_337,lib_3378,lib_339,lib_34,lib_3420,lib_3442,lib_3538,lib_3551,lib_3563,lib_36,lib_364,lib_3645,lib_365,lib_3651,lib_3657,lib_367,lib_37,lib_3715,lib_373,lib_3754,lib_379,lib_38,lib_3835,lib_3899,lib_396,lib_3965,lib_3972,lib_4,lib_40,lib_4002,lib_4009,lib_41,lib_4115,lib_4136,lib_414,lib_417,lib_4208,lib_4215,lib_4292,lib_43,lib_4305,lib_4312,lib_4473,lib_4497,lib_454,lib_458,lib_46,lib_4615,lib_463,lib_4652,lib_4696,lib_4699,lib_4761,lib_478,lib_479,lib_4873,lib_4899,lib_4977,lib_5,lib_50,lib_51,lib_5132,lib_52,lib_53,lib_5357,lib_5361,lib_54,lib_546,lib_5595,lib_56,lib_5618,lib_5641,lib_5688,lib_5827,lib_5889,lib_5960,lib_6179,lib_62,lib_6250,lib_6255,lib_6259,lib_6270,lib_6278,lib_6289,lib_63,lib_6303,lib_6351,lib_637,lib_64,lib_6434,lib_65,lib_650,lib_6609,lib_6613,lib_6780,lib_6798,lib_68,lib_69,lib_6966,lib_7,lib_70,lib_71,lib_7106,lib_7108,lib_7170,lib_7229,lib_7243,lib_73,lib_7312,lib_7391,lib_7406,lib_7433,lib_7664,lib_78,lib_79,lib_790,lib_80,lib_8059,lib_808,lib_81,lib_811,lib_8236,lib_83,lib_8385,lib_84,lib_8464,lib_8479,lib_85,lib_8589,lib_8638,lib_8688,lib_8769,lib_88,lib_8839,lib_89,lib_8928,lib_8964,lib_8986,lib_9,lib_90,lib_9115,lib_92,lib_9203,lib_9237,lib_9242,lib_93,lib_9306,lib_9308,lib_9372,lib_9443,lib_959,lib_96,lib_9639,lib_975,lib_9846,lib_99,lib_991,lib_9951,sample_name
C005,0.249803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001973,0.0,0.0,0.0,0.003749,0.0,0.0,0.003354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003552,0.0,0.0,0.0,0.0,0.0,0.0,0.002170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001973,0.0,0.0,0.0,0.003157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002565,0.0,0.0,0.0,0.0,0.0,0.0,0.001973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005722,0.0,0.0,0.002368,0.0,0.029992,0.0,0.0,0.0,0.002565,0.0,0.0,C005
C004,0.267776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001657,0.0,0.0,0.0,0.0,0.0,0.0,0.037662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001281,0.0,0.000753,0.001657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192754,0.0,0.001281,0.000904,0.0,0.0,0.0,0.0,0.0,0.0,0.164583,0.0,0.0,0.0,0.0,0.0,0.001130,0.0,0.0,0.0,0.001130,0.002109,0.222431,0.0,0.0,0.0,0.0,0.0,0.0,0.001205,0.0,0.0,0.0,0.0,0.0,0.001055,0.0,0.0,0.0,0.001130,0.001130,0.0,0.0,0.0,0.0,0.001055,0.001055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001055,0.001055,0.001130,0.0,0.0,0.001657,0.0,0.000904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000904,0.0,0.0,0.0,0.000904,0.0,0.0,0.0,0.0,0.0,0.000979,0.0,0.0,0.0,0.001281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004595,0.0,0.0,0.0,0.0,0.000904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000753,0.0,0.0,0.0,0.0,0.0,0.000753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003540,0.0,0.0,0.003013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047002,0.0,0.0,0.0,0.0,0.0,0.0,C004
C031,0.001828,0.0,0.000247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000165,0.000192,0.470296,0.000371,0.0,0.0,0.000481,0.0,0.000192,0.0,0.0,0.000784,0.0,0.0,0.002818,0.0,0.0,0.000192,0.000412,0.0,0.0,0.0,0.000151,0.0,0.0,0.000234,0.000399,0.0,0.0,0.0,0.0,0.000385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000371,0.0,0.000275,0.054296,0.325540,0.0,0.000247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000330,0.0,0.0,0.0,0.000371,0.000275,0.0,0.000165,0.0,0.0,0.000137,0.0,0.000220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000206,0.000179,0.0,0.035120,0.0,0.000151,0.000179,0.0,0.000234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001306,0.0,0.0,0.000234,0.0,0.0,0.000137,0.0,0.0,0.0,0.000220,0.0,0.000151,0.0,0.0,0.0,0.0,0.0,0.0,0.000165,0.0,0.0,0.0,0.0,0.0,0.000192,0.000192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000151,0.011271,0.0,0.0,0.0,0.0,0.0,0.000137,0.0,0.0,0.0,0.000151,0.018502,0.000179,0.0,0.0,0.0,0.0,0.000165,0.0,0.0,0.0,0.0,0.000165,0.000165,0.000165,0.0,0.0,0.000137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000151,0.0,0.0,0.0,0.0,0.001031,0.000137,0.0,0.000137,0.000137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002172,0.0,0.0,0.0,0.0,0.000137,0.0,0.0,0.0,0.0,0.0,0.007588,0.0,0.0,0.000838,0.0,0.0,0.0,0.0,0.0,0.000509,0.0,0.000412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012701,0.0,0.0,0.0,0.0,0.001072,0.0,0.000715,0.0,0.013388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001498,0.000330,0.0,0.0,0.000784,0.0,0.0,0.0,0.0,0.000880,0.0,0.001375,0.0,0.0,0.000330,0.0,0.0,0.0,0.0,0.0,0.000797,0.0,0.0,0.0,0.0,0.0,0.0,0.000893,0.0,0.0,0.0,0.0,0.0,0.000344,0.000454,0.0,0.0,0.000866,0.0,0.0,0.000838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000220,0.0,0.000275,0.000385,0.0,0.0,0.0,0.0,0.000880,0.0,0.0,0.000660,0.0,0.009966,0.0,0.0,0.0,0.0,0.0,0.000137,0.0,0.000220,0.0,0.000591,0.0,0.0,0.0,0.0,0.0,0.0,0.000220,0.000247,0.0,0.0,0.0,0.000275,0.000495,0.0,0.0,0.000220,0.0,0.0,0.000220,0.0,0.000536,0.0,0.0,0.000261,0.0,0.0,0.0,0.000564,0.000179,0.0,0.000247,0.0,0.0,0.0,0.000619,0.0,0.0,0.000536,0.000302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C031
C032,0.014632,0.002857,0.0,0.014545,0.003377,0.0,0.0,0.002857,0.001645,0.0,0.000952,0.000866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007100,0.0,0.0,0.006580,0.0,0.0,0.003810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001905,0.0,0.001905,0.002511,0.0,0.0,0.000952,0.001212,0.027186,0.003550,0.0,0.0,0.0,0.004675,0.002424,0.0,0.007879,0.003030,0.0,0.0,0.0,0.0,0.0,0.003463,0.0,0.0,0.002251,0.000866,0.0,0.0,0.0,0.000866,0.002078,0.0,0.002251,0.021212,0.001991,0.0,0.0,0.005108,0.0,0.001299,0.0,0.0,0.0,0.0,0.0,0.003377,0.0,0.018961,0.001905,0.0,0.001126,0.003290,0.003810,0.001558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003810,0.0,0.001645,0.0,0.001558,0.0,0.012208,0.003290,0.0,0.0,0.002424,0.002165,0.000866,0.0,0.0,0.011169,0.0,0.0,0.0,0.0,0.001472,0.0,0.0,0.007446,0.001039,0.0,0.001385,0.0,0.001212,0.003983,0.001991,0.0,0.0,0.0,0.0,0.001299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987,0.001212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004156,0.001472,0.0,0.001126,0.001126,0.0,0.0,0.0,0.003896,0.0,0.0,0.0,0.0,0.003377,0.001039,0.0,0.007965,0.0,0.0,0.0,0.001126,0.001732,0.0,0.0,0.0,0.019134,0.0,0.0,0.002857,0.001472,0.0,0.0,0.0,0.0,0.007446,0.014026,0.0,0.021039,0.0,0.0,0.0,0.0,0.0,0.000866,0.0,0.000952,0.0,0.0,0.001299,0.0,0.008225,0.000866,0.0,0.000866,0.0,0.003550,0.000866,0.0,0.0,0.0,0.015498,0.0,0.005455,0.0,0.001472,0.001818,0.0,0.0,0.074113,0.0,0.001385,0.000866,0.0,0.002424,0.004069,0.005628,0.0,0.002944,0.0,0.0,0.004329,0.007706,0.0,0.0,0.0,0.009004,0.001385,0.0,0.0,0.004156,0.0,0.001299,0.0,0.018961,0.001558,0.0,0.002078,0.002078,0.0,0.001039,0.0,0.001472,0.0,0.0,0.002857,0.0,0.001126,0.0,0.001126,0.0,0.000952,0.050216,0.0,0.001645,0.0,0.0,0.0,0.0,0.0,0.000866,0.0,0.0,0.0,0.014026,0.034805,0.001039,0.0,0.014805,0.036537,0.0,0.0,0.0,0.0,0.001645,0.0,0.0,0.0,0.0,0.005887,0.0,0.0,0.003030,0.022338,0.0,0.0,0.0,0.0,0.001039,0.0,0.0,0.0,0.0,0.003290,0.001558,0.0,0.022771,0.0,0.0,0.0,0.0,0.001126,0.003723,0.024935,0.001732,0.0,0.003810,0.0,0.0,0.0,0.0,0.0,0.0,0.061991,0.0,0.0,0.0,0.0,0.004156,0.0,0.002424,0.0,0.001299,0.0,0.002684,0.003810,0.001558,0.0,0.017835,0.0,0.018095,0.0,0.0,0.042944,0.0,0.0,0.0,0.0,0.0,0.0,0.003723,0.001905,0.0,0.0,0.0,0.018442,0.0,0.0,0.000866,0.0,0.0,0.005368,0.0,0.0,0.0,0.0,0.001818,0.0,0.0,0.005628,0.001299,0.0,0.001039,0.0,C032
C033,0.000146,0.0,0.0,0.0,0.0,0.000200,0.000453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000306,0.0,0.0,0.0,0.000346,0.0,0.0,0.0,0.0,0.0,0.000160,0.0,0.0,0.0,0.0,0.000386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001212,0.0,0.0,0.0,0.000320,0.0,0.000186,0.0,0.0,0.000160,0.000240,0.000146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000306,0.0,0.000186,0.0,0.0,0.000200,0.0,0.0,0.0,0.000213,0.0,0.0,0.0,0.0,0.000333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000160,0.0,0.0,0.000200,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.0,0.0,0.0,0.000852,0.0,0.0,0.000133,0.000133,0.012038,0.0,0.000173,0.0,0.0,0.0,0.000160,0.000493,0.0,0.0,0.0,0.0,0.0,0.0,0.018777,0.0,0.0,0.0,0.0,0.002970,0.001052,0.0,0.0,0.0,0.0,0.008350,0.0,0.0,0.0,0.000186,0.0,0.0,0.0,0.0,0.0,0.0,0.000706,0.0,0.000160,0.0,0.0,0.000173,0.0,0.0,0.0,0.0,0.0,0.0,0.000160,0.000666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002357,0.000133,0.002370,0.002410,0.0,0.0,0.0,0.000839,0.000146,0.0,0.001159,0.0,0.0,0.000133,0.498728,0.0,0.0,0.0,0.0,0.0,0.0,0.001159,0.0,0.0,0.000133,0.0,0.000133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000293,0.000519,0.001611,0.001958,0.000666,0.0,0.0,0.0,0.0,0.011239,0.0,0.000200,0.0,0.0,0.0,0.0,0.0,0.0,0.000559,0.0,0.000306,0.000719,0.000439,0.0,0.000266,0.0,0.000666,0.0,0.0,0.000812,0.0,0.0,0.0,0.0,0.000306,0.0,0.0,0.000439,0.0,0.0,0.000160,0.0,0.0,0.0,0.000306,0.0,0.0,0.000799,0.0,0.0,0.0,0.002597,0.0,0.0,0.0,0.0,0.0,0.000373,0.000812,0.0,0.002996,0.0,0.000133,0.000200,0.000280,0.329405,0.001119,0.0,0.000866,0.0,0.0,0.000373,0.0,0.004648,0.0,0.0,0.002131,0.000200,0.0,0.0,0.0,0.0,0.0,0.0,0.000772,0.0,0.000493,0.000173,0.000639,0.0,0.000573,0.003116,0.000546,0.0,0.0,0.0,0.0,0.0,0.0,0.000200,0.000306,0.0,0.0,0.029936,0.0,0.0,0.000306,0.0,0.001705,0.000253,0.000280,0.000546,0.0,0.000639,0.0,0.0,0.0,0.000186,0.0,0.0,0.000613,0.0,0.002077,0.0,0.0,0.0,0.019349,0.0,0.0,0.0,0.000133,0.0,0.0,0.000213,0.0,0.0,0.000413,0.0,0.000160,0.001491,0.0,0.0,0.0,0.000226,0.0,0.0,0.0,0.0,0.000466,0.0,0.000213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000439,0.0,0.0,0.001625,0.0,0.000439,C033
